iter	R2	RMSE
0	0.05395948928	386345.1762
1	0.1041941583	375947.8212
2	0.1496440998	366286.567
3	0.1900832771	357470.9959
4	0.2291492212	348743.2294
5	0.2659700103	340312.2082
6	0.2978174632	332847.7606
7	0.3274093501	325758.7126
8	0.3540137951	319250.9873
9	0.3828691525	312039.2711
10	0.4057176218	306208.367
11	0.4324712257	299236.5025
12	0.4599521181	291901.7917
13	0.4834867879	285470.5716
14	0.5061277503	279143.7698
15	0.5249370086	273776.5376
16	0.5434994507	268374.5192
17	0.5600954172	263451.0115
18	0.576865822	258380.4678
19	0.5907196625	254115.4483
20	0.6033914389	250150.6694
21	0.6169207515	245847.0155
22	0.6292163224	241869.4021
23	0.6390548199	238638.9066
24	0.6495297048	235150.6775
25	0.6577667406	232370.8967
26	0.6663808019	229427.8547
27	0.6744365182	226640.9956
28	0.6818191549	224056.5491
29	0.6895456789	221319.3987
30	0.6959313112	219031.4498
31	0.7019989442	216835.072
32	0.7088366618	214332.9651
33	0.7143388556	212298.1516
34	0.7195090624	210368.1774
35	0.7239101705	208711.2367
36	0.7282959826	207046.8641
37	0.7310811249	205982.9483
38	0.7349973942	204477.5813
39	0.7384112241	203156.2464
40	0.7417715205	201847.1846
41	0.7451240495	200532.6331
42	0.7484730373	199210.8096
43	0.7512381514	198112.7903
44	0.7541111112	196965.4621
45	0.7566054369	195963.8953
46	0.7581295825	195349.3652
47	0.7607709685	194279.7644
48	0.7635058044	193166.0816
49	0.7661660786	192076.5664
50	0.768801664	190991.0337
51	0.7716090036	189827.9321
52	0.7739453932	188854.4872
53	0.7762310418	187897.3033
54	0.7782953179	187028.6158
55	0.7804095126	186134.7192
56	0.7820613896	185433.2952
57	0.7841833973	184528.3307
58	0.7858876412	183798.3021
59	0.7874214955	183138.7733
60	0.788964932	182472.7182
61	0.7904325624	181837.1135
62	0.7912703492	181473.2848
63	0.7926941996	180853.2652
64	0.7937239943	180403.5103
65	0.7951197305	179792.1375
66	0.7970376418	178948.6298
67	0.7980349557	178508.4306
68	0.7990312363	178067.6009
69	0.7998811709	177690.6613
70	0.8011509165	177126.0444
71	0.8022801177	176622.4069
72	0.803170464	176224.2868
73	0.8041347328	175792.095
74	0.8052747093	175279.7752
75	0.8059989295	174953.5222
76	0.8073094003	174361.6184
77	0.8082260718	173946.3857
78	0.8088475043	173664.3253
79	0.8098808591	173194.2816
80	0.8105407874	172893.4304
81	0.8114291055	172487.6311
82	0.8125775335	171961.5898
83	0.8131868999	171681.813
84	0.8141376227	171244.3972
85	0.8146986882	170985.7328
86	0.8156159894	170561.9905
87	0.8165334342	170137.1263
88	0.8167853269	170020.2902
89	0.8174065732	169731.7921
90	0.8181872822	169368.545
91	0.8186628908	169146.8721
92	0.8191651034	168912.4838
93	0.8196238343	168698.1044
94	0.8201398211	168456.6414
95	0.8204733839	168300.3618
96	0.821226826	167946.8268
97	0.8216118992	167765.8525
98	0.82268022	167262.7447
99	0.8229443292	167138.1334
100	0.8234056386	166920.2565
101	0.8240243183	166627.6062
102	0.8245502509	166378.4227
103	0.8250630681	166135.0934
104	0.8256650715	165848.99
105	0.8266530979	165378.3557
106	0.8272812914	165078.4256
107	0.8280129747	164728.396
108	0.8284824266	164503.4229
109	0.8288256884	164338.7284
110	0.8288375808	164333.0195
111	0.8290124009	164249.0757
112	0.8293178871	164102.2865
113	0.8293326558	164095.1867
114	0.8295467205	163992.2437
115	0.8296362926	163949.1496
116	0.8301021605	163724.8327
117	0.8304883482	163538.6488
118	0.831085387	163250.3941
119	0.8314788403	163060.1535
120	0.8317612531	162923.4656
121	0.8327307588	162453.3496
122	0.8329231003	162359.9209
123	0.833133047	162257.8792
124	0.833194516	162227.9908
125	0.8336309923	162015.6025
126	0.833887042	161890.8797
127	0.8340735671	161799.9621
128	0.8345006576	161591.5934
129	0.8348852687	161403.7193
130	0.8351155185	161291.1426
131	0.8354390228	161132.8379
132	0.8355522898	161077.3746
133	0.8359838051	160865.9001
134	0.8362056377	160757.0774
135	0.8362854327	160717.9149
136	0.8367723501	160478.7346
137	0.8372539992	160241.7908
138	0.8372614937	160238.1012
139	0.8380600333	159844.4825
140	0.8382536827	159748.8821
141	0.8385873954	159584.0012
142	0.8387740953	159491.6821
143	0.8390766131	159341.98
144	0.8393263215	159218.3047
145	0.8395690121	159098.0131
146	0.8399304984	158918.6706
147	0.8403559999	158707.3089
148	0.8405870269	158592.4316
149	0.8406986144	158536.9153
150	0.8411783991	158297.9942
151	0.8411907123	158291.8577
152	0.8412685128	158253.0795
153	0.8415192553	158128.0367
154	0.8416478861	158063.8514
155	0.8420262096	157874.9211
156	0.8423385402	157718.7763
157	0.8425531944	157611.3736
158	0.8428318273	157471.8498
159	0.843334026	157220.064
160	0.8433896603	157192.146
161	0.8438951361	156938.2641
162	0.8439846249	156893.2744
163	0.8442870336	156741.1455
164	0.84468192	156542.2724
165	0.8449156529	156424.4404
166	0.8456583189	156049.4493
167	0.845727846	156014.2971
168	0.8461354604	155808.0521
169	0.8463755582	155686.4393
170	0.8466402311	155552.2688
171	0.8466631089	155540.6659
172	0.8469352097	155402.5989
173	0.8473511611	155191.3031
174	0.8476926503	155017.6174
175	0.8479824133	154870.0876
176	0.8482070009	154755.6444
177	0.8483148107	154700.6776
178	0.8486493818	154529.9723
179	0.8487497041	154478.749
180	0.8491284811	154285.1967
181	0.8493676073	154162.8798
182	0.849617527	154034.9381
183	0.8499288448	153875.416
184	0.8501609073	153756.3974
185	0.8505771021	153542.7111
186	0.8510998555	153273.8925
187	0.8512132045	153215.5421
188	0.8514790601	153078.5964
189	0.8520879108	152764.507
190	0.8522605245	152675.3427
191	0.8527948854	152398.9859
192	0.8530305899	152276.9265
193	0.8530904591	152245.9077
194	0.8531701723	152204.5978
195	0.8534679665	152050.1719
196	0.8537211186	151918.7724
197	0.8538904131	151830.8361
198	0.8540568549	151744.3319
199	0.8545299365	151498.189
200	0.8550883133	151207.1518
201	0.8552740878	151110.1981
202	0.8553448439	151073.2549
203	0.8556549015	150911.2609
204	0.8561347312	150660.2237
205	0.8566717463	150378.7712
206	0.8569606958	150227.1131
207	0.8571166555	150145.1924
208	0.8574653356	149961.8798
209	0.8577305426	149822.3017
210	0.857918212	149723.4529
211	0.8581023082	149626.4226
212	0.8583646127	149488.0629
213	0.8588104772	149252.5852
214	0.8591403797	149078.112
215	0.859384257	148949.0029
216	0.8596627482	148801.4321
217	0.8599224873	148663.6659
218	0.8599708561	148637.9969
219	0.860415037	148402.0653
220	0.8606581224	148272.7889
221	0.8608236078	148184.7167
222	0.8610375622	148070.7715
223	0.8613011474	147930.2739
224	0.8615896762	147776.3275
225	0.8616038396	147768.7664
226	0.8617880975	147670.3654
227	0.8621534631	147475.0517
228	0.8623184453	147386.7722
229	0.8626811293	147192.5193
230	0.8628834125	147084.0654
231	0.8630998031	146967.9592
232	0.8632956113	146862.8175
233	0.8634374826	146786.5909
234	0.8636124944	146692.5035
235	0.8637698932	146607.8334
236	0.8639986497	146484.6903
237	0.8642477038	146350.503
238	0.864412898	146261.4304
239	0.8648572582	146021.5621
240	0.8651697397	145852.6465
241	0.8653999293	145728.0894
242	0.8654714836	145689.3493
243	0.8656441651	145595.8155
244	0.865789119	145517.254
245	0.8659908623	145407.8435
246	0.8661952702	145296.9038
247	0.8665744784	145090.869
248	0.8666763237	145035.4836
249	0.8671228855	144792.3849
250	0.8675442971	144562.6025
251	0.8676813692	144487.7826
252	0.8678030583	144421.327
253	0.8680357281	144294.1786
254	0.8681080357	144254.6414
255	0.8682219002	144192.3592
256	0.8685231232	144027.4649
257	0.8689286411	143805.1794
258	0.8691002559	143711.0048
259	0.8691392504	143689.5977
260	0.8695234871	143478.4901
261	0.8696920112	143385.8014
262	0.869846051	143301.0267
263	0.8700367048	143196.0322
264	0.8702571671	143074.5259
265	0.8704652964	142959.722
266	0.8706991043	142830.6439
267	0.8708208404	142763.3909
268	0.870888092	142726.2242
269	0.8710569973	142632.8358
270	0.871249492	142526.3301
271	0.8713793141	142454.4557
272	0.8715684977	142349.6516
273	0.8717835044	142230.4482
274	0.8718877006	142172.644
275	0.8720175228	142100.5907
276	0.8721538776	142024.8723
277	0.8723025672	141942.2582
278	0.872514102	141824.6436
279	0.8726189385	141766.3177
280	0.8727080927	141716.6978
281	0.8728044914	141663.0263
282	0.8729264566	141595.0911
283	0.8731059322	141495.0631
284	0.8731934189	141446.278
285	0.8733393045	141364.8906
286	0.8734898405	141280.8596
287	0.8735969548	141221.0368
288	0.8737612737	141129.2161
289	0.8740543567	140965.294
290	0.8741194854	140928.8415
291	0.8742666269	140846.4517
292	0.8744262007	140757.0461
293	0.8746309369	140642.2538
294	0.8748477487	140520.5886
295	0.874941996	140467.6684
296	0.8749988517	140435.734
297	0.8750483134	140407.9467
298	0.8751390517	140356.9563
299	0.8753615752	140231.8305
300	0.8754728382	140169.225
301	0.8755200926	140142.6274
302	0.8756724443	140056.8404
303	0.8757261018	140026.6142
304	0.8757869407	139992.3347
305	0.8758590067	139951.7184
306	0.8760437177	139847.5616
307	0.8761533856	139785.6842
308	0.8763607068	139668.6335
309	0.8764523577	139616.8574
310	0.8765721857	139549.1342
311	0.8766223395	139520.779
312	0.876731539	139459.0216
313	0.8769273165	139348.2318
314	0.8771115497	139243.8943
315	0.8772078402	139189.3306
316	0.877381176	139091.0547
317	0.8774307419	139062.9397
318	0.877606938	138962.9507
319	0.8776516721	138937.5532
320	0.8777789138	138865.2872
321	0.8778838035	138805.6875
322	0.8782589072	138592.3393
323	0.8784184051	138501.5218
324	0.8785222872	138442.3397
325	0.8786174491	138388.1034
326	0.8788167206	138274.4621
327	0.8789503733	138198.1898
328	0.8792445983	138030.1344
329	0.879444031	137916.1059
330	0.8794899256	137889.8517
331	0.8797409865	137746.1425
332	0.8800050212	137594.8452
333	0.8801065829	137536.6039
334	0.8802073497	137478.7941
335	0.880313241	137418.0181
336	0.8803582835	137392.1579
337	0.8804586548	137334.5145
338	0.8805940141	137256.739
339	0.8807123377	137188.7159
340	0.8808902038	137086.3988
341	0.8809525412	137050.5213
342	0.8810110991	137016.8105
343	0.8811678007	136926.5591
344	0.8814903134	136740.6223
345	0.8815840317	136686.5438
346	0.8817108089	136613.3554
347	0.8819270556	136488.4255
