iter	Passed	Remaining
0	59	59292
1	61	30784
2	62	20929
3	65	16239
4	67	13345
5	68	11327
6	69	9900
7	71	8840
8	73	8112
9	75	7436
10	75	6808
11	76	6339
12	78	5953
13	81	5715
14	83	5490
15	84	5223
16	86	4982
17	87	4778
18	89	4600
19	90	4428
20	92	4303
21	93	4167
22	94	4035
23	96	3904
24	97	3808
25	99	3732
26	100	3633
27	101	3535
28	103	3454
29	104	3376
30	105	3311
31	107	3243
32	108	3184
33	109	3117
34	111	3061
35	112	3011
36	113	2962
37	115	2913
38	116	2867
39	117	2819
40	118	2779
41	120	2738
42	121	2705
43	122	2669
44	124	2635
45	125	2599
46	125	2554
47	127	2519
48	129	2512
49	130	2482
50	131	2453
51	132	2424
52	134	2400
53	135	2378
54	137	2356
55	138	2332
56	139	2309
57	141	2290
58	142	2279
59	144	2256
60	145	2234
61	146	2213
62	147	2197
63	148	2177
64	150	2161
65	151	2146
66	152	2128
67	154	2112
68	155	2096
69	156	2082
70	157	2065
71	159	2055
72	160	2044
73	162	2028
74	163	2015
75	165	2006
76	166	1994
77	167	1978
78	168	1968
79	169	1953
80	171	1942
81	172	1930
82	173	1921
83	175	1911
84	176	1900
85	177	1888
86	179	1879
87	180	1868
88	181	1860
89	183	1850
90	184	1841
91	185	1831
92	186	1823
93	188	1814
94	189	1806
95	190	1795
96	191	1786
97	193	1779
98	194	1770
99	195	1762
100	197	1753
101	198	1744
102	199	1736
103	200	1727
104	202	1723
105	203	1717
106	204	1710
107	206	1705
108	207	1698
109	209	1694
110	209	1680
111	210	1671
112	212	1666
113	212	1653
114	214	1648
115	215	1639
116	216	1633
117	217	1628
118	219	1621
119	220	1617
120	221	1611
121	223	1606
122	224	1600
123	226	1597
124	226	1587
125	228	1587
126	230	1581
127	231	1578
128	232	1571
129	234	1570
130	235	1565
131	237	1560
132	238	1554
133	240	1554
134	242	1551
135	242	1543
136	245	1543
137	246	1539
138	246	1529
139	247	1523
140	249	1518
141	250	1514
142	251	1509
143	253	1506
144	254	1503
145	255	1496
146	257	1492
147	258	1488
148	259	1482
149	260	1478
150	262	1474
151	262	1466
152	263	1460
153	265	1456
154	266	1455
155	268	1452
156	269	1446
157	271	1447
158	272	1443
159	274	1442
160	276	1438
161	277	1433
162	278	1430
163	280	1428
164	281	1423
165	282	1420
166	284	1416
167	286	1418
168	288	1418
169	289	1414
170	291	1411
171	291	1404
172	293	1401
173	294	1396
174	295	1395
175	297	1392
176	299	1391
177	300	1388
178	301	1384
179	303	1380
180	304	1377
181	305	1374
182	307	1370
183	308	1368
184	309	1364
